Name, Latitude, Longitude, Altitude, Description
P01162, 40.4772000, -5.2389000, 1620, CORRALES LADERA
P02107, 40.4626166, -5.4096334, 1070, HOYORREDONDO
P03035, 40.0498333, -6.0506333, 350, PLASENCIA
P04140, 40.4593334, -5.3529000, 1400, CERRO DE LA CRUZ
P05105, 40.3944500, -5.4390000, 1050, GASOLINERA ST MA-CABALLEROS
P06147, 40.4510000, -5.0960000, 1470, GARGANTA VILLAR CEMETERIO
P07151, 40.5484167, -5.1640167, 1510, VILLATORO ANTENA
P08111, 40.5309833, -5.2644333, 1110, BONILLA IGLESIA
P09127, 40.5618667, -5.2588833, 1270, TORTOLES IGLESIA
P10119, 41.0070639, -3.9992611, 1190, TORRECABALLEROS ANTENA
P11117, 41.1083361, -3.7181639, 1170, GOL ARCONES
P12090, 41.0700000, -4.4066389, 900, STA MA REAL NIEVA
P13093, 40.8000000, -5.0860000, 935, SAN PEDRO DEL ARROYO
P14108, 40.6052833, -4.7905416, 1080, GOL AVILAELFRESNO
P15104, 40.5019000, -5.2672833, 1040, LAVADERO
P16112, 40.2554750, -4.9062028, 1125, PEDRO BERNARDO DESP
P17101, 40.4832000, -5.3198333, 1015, GOL PIEDRAHITA ESCOMBRERA
P18110, 40.5720000, -5.0640000, 1100, AMAVIDA
P19101, 40.4372166, -5.4708333, 1010, LA HORCAJADA
P20133, 40.3863833, -5.5922167, 1330, SIERRA BARCO
P21127, 40.3988833, -5.4852833, 1270, COLLADO-BARCO
P22133, 40.3195000, -5.5488000, 1330, BARCO ANTENA
P23121, 40.4335334, -5.3593834, 1210, SANTIAGO
P24200, 40.3352500, -5.7293000, 2000, DESPEGUE CANDELARIO
P25101, 41.8199833, -2.4673195, 1019, GOL SORIA AERODROMO
P26115, 40.5785833, -5.3754500, 1159, AREVALILLO CRUCE
P27190, 40.4216000, -5.3009000, 1900, DESPEGUE PENA NEGRA
P28117, 40.5807000, -5.0137500, 1170, MUNANA GASOLINERA
P29130, 40.2706000, -5.6626834, 1300, PTO TORNAVACAS ANTENA
P30101, 40.6448666, -5.4110834, 1010, HORCAJO MEDIANERO GASOLINERA
P31131, 40.5010833, -4.9991667, 1310, MENGAMUNOZ
P32132, 40.3524000, -5.7495000, 1320, CANDELARIO FABRICA JAMONES
P33114, 40.6056334, -4.8911833, 1140, MUNOGALINDO
P34118, 40.5289167, -5.2042333, 1180, CEMETERIO CASAS DEL PUERTO
P35130, 40.5361333, -4.8376500, 1300, SOTALVO CASTILLO
P36170, 40.4321000, -5.3165833, 1700, CHALET EN LADERA
P37092, 40.4895000, -5.5215000, 927, PUENTE CONGOSTO
P38119, 41.2804278, -3.4776695, 1196, RIAZA
P39106, 40.4659000, -5.3180000, 1060, PIEDRAHITA PLAZA TOROS
P40094, 40.8949472, -4.6092167, 940, GOL SANCHIDRIAN
P41158, 40.3549333, -5.1137972, 1580, PARADOR GREDOS
P42101, 40.4755000, -5.4797834, 1016, NAVAMORALES
P43092, 40.8071611, -4.6363972, 920, SANTO DOMINGO
P44102, 40.9417778, -4.1304000, 1020, SEGOVIA HOSPITAL
P45102, 40.8576167, -4.2469834, 1020, FUENTEMILANOS
P46102, 40.8828305, -4.4738194, 1020, MUNOPEDRO
P47083, 40.8212000, -5.5152000, 830, ALBA TORMES PISCINA
P48103, 40.3584723, -5.5198139, 1030, BARCO AVILA PLAZ TOROS
P49104, 41.2980722, -3.7503250, 1040, SEPULVEDAIGLESIA
P50158, 40.3440027, -5.4346777, 1580, LASTRA DEL CANO DESP
P51112, 40.5398889, -5.4472361, 1120, GALLEGOS SOLM NAVE NE
P52110, 40.7815056, -4.4123500, 1100, VILLACASTIN IGLESIA
P53096, 41.4937111, -2.5490361, 960, GOL ALMAZAN
P54073, 41.2945639, -4.9104055, 730, MEDINA CAMPO HOSP-S
P55073, 40.5030695, -5.3977056, 1025, STA M BERROCAL NAVE-S
P56112, 40.6571222, -4.7213000, 1128, AVILA ANTENA
P57084, 40.9087527, -5.5901916, 845, CALVARRASA D ARRIBA
P58121, 40.7423667, -4.4725889, 1210, ALDEAVIEJA IGLESIA
P59081, 41.0695000, -4.7203028, 817, AREVAL0 CASTILLO
P60087, 41.4008750, -4.3182778, 879, CUELLAR IGLESIA
P61146, 40.3611306, -5.2405583, 1460, NAVACEPEDA NAVE AL E
P62089, 40.9013278, -5.2076500, 898, PENARANDA DE BRACAMONTE
P63120, 40.8975083, -4.0043778, 1201, LA GRANJA PALACIO
P64080, 41.0870972, -4.9983778, 800, MADRIGAL ALTAS TORRES
P65089, 40.6549556, -6.0902139, 891, TAMAMES
P66113, 40.5457611, -4.9895861, 1138, NARROS DEL PUERTO
P67125, 40.7390000, -5.0120000, 1253, SOLANA DE RIOALMAR
P68123, 40.7100000, -4.8990000, 1234, GALLEGOS
P69112, 40.5518472, -4.9089056, 1121, SOLOSANCHO
P70097, 40.5461306, -5.6691528, 977, GUIJUELO
P71180, 40.4547000, -5.1758556, 1800, PUERTO DE CHIA
P72106, 40.5377222, -5.3260000, 1062, BECEDILLAS
P73138, 40.6346194, -4.9730000, 1385, BALBARDA
P74039, 39.8815583, -4.9784555, 394, CALERA Y CHOZAS
P75049, 40.0782584, -4.3801889, 490, MAQUEDA GASOLINERA
P76050, 39.9602611, -4.2000195, 500, RIELVES
P77051, 40.2293334, -4.7515334, 515, LA IGLESUELA
P78195, 40.3647222, -4.6241666, 1955, LA ESCUSA
P79028, 40.0672667, -5.3584750, 288, ROSARITO
P80132, 40.1547361, -4.7430750, 1320, PIELAGO
P81217, 40.3129167, -4.8852500, 2175, EL CABEZO
